4 4 0 ......F...BDFAA.BDE.GGBDE.....E.CC.. C98 E99 D99 F99
4 4 0 F...B.F...B.E.AAB.E.GG.DE....DCC...D C96 B99 D97 A99
4 4 0 ......F...BDFAA.BDE.GGBDE.....E..CC. C99 E99 D99 F99
4 4 0 F...B.F...BDEAA.BDEGG..DE......CC... C97 B99 G99 D99
4 4 0 .....DF....DFAA.BDE.GGB.E...B.ECC... C97 E99 B99 F99
4 4 0 F...B.F...B.EAA.BDE..GGDE....DCC.... C96 B99 G99 D98
4 4 0 F.....F...BD..AABDE.GGBDE.....ECC... C97 E99 D99 A99
4 4 0 F...B.F...BDEAA.BDEGG..DE.......CC.. C98 B99 G99 D99
4 4 0 F...B.F...BDEAA.BDEGG..DE........CC. C99 B99 G99 D99
4 4 0 F...B.F...B.E.AABDE.GG.DE....DCC.... C96 B99 D98 A99
4 4 0 F....DF....D..AABDE.GGB.E...B.E..CC. C99 E99 B99 A99
4 4 0 F...BDF...BD..AABDE.GG..E.....E..CC. C99 E99 B99 A99
4 4 0 F...BDF...BDE.AABDE...GGE.....CC.... C96 B99 G98 A99
4 4 0 F...BDF...BD.AA.BDEGG...E.....E.CC.. C98 E99 B99 G99
4 4 0 F.....F...B...AAB.E.GGBDE....DE..CCD C99 E99 D97 A99
4 4 0 F.....F...B...AABDE.GGBDE....DE..CC. C99 E99 D98 A99
4 4 0 F...BDF...BD.AA.BDEGG...E.....ECC... C97 E99 B99 G99
4 4 0 F.....F...BD..AABDE.GGBDE.....E..CC. C99 E99 D99 A99
4 4 0 F...B.F...B.EAA.BDE..GGDE....D.CC... C97 B99 G99 D98
4 4 0 F...B.F...B.EAA.B.EGG..DE....D...CCD C99 B99 G99 D97
4 4 0 F...B.F...B.EAA.BDEGG..DE....D...CC. C99 B99 G99 D98
4 4 0 .....DF...BDF.AABDE.GGB.E.....E.CC.. C98 E99 A99 F99
4 4 0 F...B.F...B...AABDE.GG.DE....DE...CC E99 B99 D98 A99
4 4 0 F...B.F...B.EAA.BDEGG..DE....D.CC... C97 B99 G99 D98
