3 3 0 ..EEE....CCCAA...H.BB..H..FF.HDD.GGG F99 B99 C98 I1
3 3 0 ...EEE...CCCAA...H..BB.H..FF.HDD.GGG F99 C98 E99 I1
3 3 0 .EEE..CCC..HAA...H..BB.H...FF.DD.GGG H99 C99 E99 I1
3 3 0 ..EEE.CCC..HAA...H..BB.H...FF.DDGGG. G99 H99 C99 I1
3 3 0 EEE....CCC...AA..H..BB.H.FF..HDD.GGG F98 A99 E98 I1
3 3 0 ..EEE..CCC.....AAH.BB..HFF...HDD.GGG F97 B99 A97 I1
3 3 0 ...EEE.CCC..AA...H.BB..HFF...HDD.GGG F97 B99 E99 I1
3 3 0 .EEE...CCC...AA..H..BB.H.FF..HDD.GGG F98 A99 E99 I1
3 3 0 .EEE.....CCCAA...H..BB.H...FFH.DDGGG D99 C98 E99 I1
3 3 0 EEE....CCC..AA...H.BB..HFF...HDD.GGG F97 B99 E98 I1
3 3 0 .EEE...CCC..AA...H.BB..HFF...HDD.GGG F97 B99 E99 I1
3 3 0 ..EEE..CCC...AA..H..BB.H.FF..HDDGGG. G99 F98 A99 I1
3 3 0 ..EEE..CCC..AA...H.BB..HFF...HDDGGG. G99 F97 B99 I1
3 3 0 ..EEE.CCC......AAH.BB..H...FFHDD.GGG B99 A97 C99 I1
3 3 0 ..EEEH.CCC.H.AA..H..BB...FF...DD.GGG H98 F98 A99 I1
3 3 0 ..EEE..CCC....AA.H.BB..H...FFH.DDGGG D99 B99 A98 I1
3 3 0 ..EEE...CCCH...AAH..BB.H...FF.DD.GGG H99 A97 C99 I1
3 3 0 ..EEE.CCC...AA...H.BB..HFF...HDD.GGG F97 B99 C99 I1
3 3 0 ..EEE.CCC...AA...H.BB..H.FF..HDD.GGG F98 B99 C99 I1
3 3 0 ..EEE..CCC.H.AA..H..BB.H.FF...DD.GGG H99 F98 A99 I1
3 3 0 ...EEECCC...AA...H.BB..H...FFHDD.GGG B99 C99 E99 I1
3 3 0 EEE...CCC...AA...H.BB..H...FFHDD.GGG B99 C99 E98 I1
3 3 0 ..EEEH.CCC.H...AAH..BB..FF....DD.GGG H98 F97 A97 I1
3 3 0 ..EEE..CCC...AA..H.BB..H...FFH.DDGGG D99 B99 A99 I1
3 3 0 .EEE..CCC...AA...H.BB..H...FFHDD.GGG B99 C99 E99 I1
3 3 0 ..EEE.CCC...AA...H.BB..H...FFHDDGGG. G99 B99 C99 I1
3 3 0 ..EEEH.CCC.H..AA.H..BB..FF....DD.GGG H98 F97 A98 I1
3 3 0 ..EEEHCCC..HAA...H.BB......FF.DD.GGG H98 B99 C99 I1
3 3 0 EEE.....CCC.AA...H..BB.H..FF.HDD.GGG F99 C99 E98 I1
3 3 0 ..EEEH.CCC.H.AA..H..BB..FF....DD.GGG H98 F97 A99 I1
3 3 0 .EEE....CCC.AA...H..BB.H..FF.HDD.GGG F99 C99 E99 I1
3 3 0 ...EEE..CCC.AA...H..BB.H..FF.HDD.GGG F99 C99 E99 I1
3 3 0 ..EEE..CCC..AA...H.BB..HFF...H.DDGGG D99 F97 B99 I1
3 3 0 ..EEE..CCC.....AAHBB...H...FFH.DDGGG D99 B98 A97 I1
3 3 0 ...EEE.CCC....AA.H..BB.H...FFH.DDGGG D99 A98 E99 I1
3 3 0 ..EEE..CCC...AA..HBB...H...FFH.DDGGG D99 B98 A99 I1
